Indicator component assessed,Long term,Medium term,Short term
"H3a Emissions of mercury to air land and water, England",Not assessed,Not assessed,Not assessed
"H3b Emissions of dioxin-like polychlorinated biphenyl to air, land and water, England",Improvement,Improvement,Improvement
"H3b Emissions of dioxins and furans to air, land and water, England",Improvement,Improvement,Improvement
"H3b Emissions of hexachlorobenzene to air, land and water, England",Improvement,Improvement,Deterioration
"H3b Emissions of pentachlorobenzine to air, land and water, England",Improvement,Improvement,Improvement
"H3b Emissions of pentachlorophenol to air, land and water, England",Improvement,Improvement,Improvement
"H3b Emissions of polychlorinated biphenyl to air, land and water, England",Improvement,Improvement,Improvement
"H3b Emissions of polychlorinated naphthalenes to air, land and water, England",Improvement,Improvement,Little or no change
H4 Exposure of wildlife to chemicals in the environment in England and for some marine components in the UK,Not assessed,Not assessed,Not assessed
J5 Prevent harmful chemicals from being recycled,Not assessed,Not assessed,Not assessed
